Destination,Latitude,Longitude
Aabybro,57.1606394,9.7339628
Aalborg,57.0462626,9.9215263
Aarhus,56.1496278,10.2134046
Aarhus Universitet,56.1670905,10.202617693592895
Aarhus Universitet Aarhus,56.1670905,10.202617693592895
Allerslev,55.5988038,11.9670762
Christiansminde Svendborg,55.0568776,10.6460224
DTU Lyngby,55.785414450000005,12.520215144442094
Esbjerg,55.4664892,8.4520751
Flakkebjerg,55.312407,11.3970026
Foulum,56.4973562,9.5841941
Fredericia,55.565268,9.7562169
Fyn,55.32465655,10.347141692689295
Glostrup,55.6835672,12.4128011280619
Greve,55.5833746,12.2999286
Helsingør,56.0348739,12.6130073
Herning,56.1379757,8.9746623
Hundested,55.9668501,11.8515494
Hvalsø,55.5953424,11.8592384
Kirke Hvalsø,55.5935695,11.8598137
Korsør,55.3266045,11.1425876
København,55.6867243,12.5700724
København H,55.6727587,12.564678938785772
Københavns Universitet Frederiksberg,55.6799778,12.540554585000528
Køge,55.4565009,12.1818964
Lejre,55.6043432,11.9737103
Middelfart,55.4470245,9.93698091984884
Miljøstyrelsen København,55.7064387,12.553202721652957
Nyborg,55.3098281,10.7976604
Nykøbing Mors,56.7943811,8.8594834
Odden,59.41194,6.79944
Odense,55.3997225,10.3852104
Risø,55.695065,12.0927145
Roskilde,55.6433478,12.0819247
Silkeborg,56.169453,9.5495141
Sjællands Odde,55.97177885,11.344067922235686
Skive,56.6459244,8.932732160154906
Slagelse,55.4061196,11.3525415
Sorø,55.4365822,11.5629363
Svendborg,55.0636926,10.6085377
Sønderborg,54.9089186,9.7897999
Trekroner,55.70270485,12.614760099801106
Tårnby,55.6246457,12.6006252
Tåstrup,55.6522136,12.292049
Vedskølle,55.226753,11.3687146
Vejle,55.7000057,9.5333238
Viborg,56.4469128,9.4059354
hvidovre,55.6441712,12.4772091
Ålborg,57.0462626,9.9215263
Århus,56.1496278,10.2134046
Århus C,56.20424885,10.263710468026026
Ølstykke,55.7957669,12.1593166
